EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status
65370000,2,07-01-1949,,1,1,1024,465,7511,1,31,1,1,1,,0,1024,1024,1024,1024,1024,87,87,78,78,78,78,78,78,78,69,69,78,69,735,78,735,69,69,69,6,6,6,51,51,51,465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,08-01-1949,,1,1,164,42,9393,7,1,1,1,1,,0,42,42,42,42,42,645,164,1409,1486,1486,1332,1024,947,825,825,825,735,6,555,69,1486,1178,1486,1332,1332,78,947,1024,87,78,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,09-01-1949,,1,1,2424,42,10208,17,9,1,1,1,,0,69,6,6,6,69,69,645,51,42,42,645,78,78,825,2032,2032,2326,2228,1738,1486,1563,1409,1255,1024,87,78,78,78,735,69,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,10-01-1949,,1,1,4965,51,13659,4,31,1,1,1,,0,69,735,3885,4965,375,3637,3298,1738,1409,1178,1178,1178,1024,1024,87,825,735,69,6,735,1178,947,87,78,645,6,645,78,645,6,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,11-01-1949,,1,1,737,42,1736,21,4,1,1,1,,0,51,51,51,42,465,645,735,6,825,2228,2032,1563,1332,87,735,69,6,78,2733,402,622,51,456,3411,3185,1934,1486,1255,1101,1024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,12-01-1949,,1,1,3072,369,10022,30,27,1,1,1,,0,1024,87,825,735,69,6,1332,1563,1738,164,1332,1486,1486,1255,947,1178,1024,87,825,69,51,51,51,51,42,42,369,6,1101,2522,1486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,01-01-1950,,1,1,8264,78,23271,10,7,1,1,1,,0,1409,1563,1332,1101,825,1024,78,2959,483,795,552,402,3411,2733,2228,213,2032,1836,2032,1738,1486,1255,375,3298,2228,1934,1563,1101,1332,1101,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,02-01-1950,,1,1,679,735,18995,20,11,1,1,1,,0,213,1934,2228,213,164,1332,1024,1178,947,825,735,947,1101,2228,213,1738,1178,2846,566,58,3185,262,1836,1409,1255,1178,1101,87,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
65370000,2,03-01-1950,,1,1,1222,69,24167,4,26,1,1,1,,0,1409,1255,4155,10024,8578,58,3411,2959,262,2959,2522,2228,1934,164,164,1486,1332,1332,1178,1178,1024,1024,947,87,78,69,69,69,1563,2846,4155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,04-01-1950,,1,1,3072,465,11276,3,30,1,1,1,,0,1934,1836,2959,2032,1934,1738,1332,1024,87,825,78,825,1332,1255,1101,947,78,735,69,6,1409,1332,1101,947,69,6,6,6,555,465,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
