EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65370000;2;01/09/1947;;1;1;356,5;22,28;71,542;24;16;1;1;1;;0;70,8;110,32;70,8;46,95;36,37;34,11;30,72;28,46;30,72;27,33;26,2;25,22;24,24;24,24;23,26;22,28;34,11;85,78;103,6;76,6;62,2;45,6;48,3;254;254;152,4;127,3;95,2;98,56;76,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/10/1947;;1;1;113,7;15,63;41,167;1;31;1;1;1;;0;101,92;90,49;85,78;87,35;72,25;62,2;58;53,8;49,65;42,9;38,85;35,24;32,98;29,59;28,46;27,33;26,2;28,46;26,2;24,24;21,3;23,26;24,24;38,85;35,24;29,59;26,2;24,24;19,34;16,4;15,63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/11/1947;;1;1;65;8,7;21,685;4;30;1;1;1;;0;15,63;36,37;56,6;59,4;42,9;36,37;31,85;29,59;26,2;25,22;23,26;21,3;20,32;18,36;17,38;16,4;15,63;14,86;14,09;13,32;14,86;13,32;12,55;12,55;11,78;11,01;11,01;10,24;9,47;8,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/12/1947;;1;1;59,4;7,8;15,465;17;9;1;1;1;;0;8,7;15,63;12,55;11,01;10,24;9,47;8,7;8,25;7,8;14,09;16,4;14,86;11,78;10,24;19,34;35,24;51;34,11;24,24;21,3;19,34;17,38;14,86;14,09;12,55;11,78;10,24;9,47;8,7;8,25;7,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/01/1948;;1;1;58;6;16,146;22;15;1;1;1;;0;7,8;7,8;7,8;7,35;7,35;7,35;7,35;7,35;6,9;6,9;6,9;6,9;6,45;6,45;6;6;6;6,9;7,35;11,01;44,25;48,3;24,24;20,32;42,9;40,2;31,85;28,46;29,59;25,22;21,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/02/1948;;1;1;103,6;16,4;40,44;15;2;1;1;1;;0;18,36;16,4;16,4;27,33;20,32;19,34;23,26;65;45,6;38,85;31,85;26,2;23,26;21,3;100,24;70,8;58;46,95;38,85;41,55;25,22;29,59;44,25;42,9;38,85;62,2;73,7;55,2;51;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
65370000;2;01/03/1948;;1;1;53,8;12,55;26,526;12;30;1;1;1;;0;48,3;42,9;37,5;32,98;29,59;28,46;27,33;25,22;24,24;23,26;38,85;52,4;46,95;36,37;27,33;23,26;21,3;25,22;24,24;22,28;21,3;19,34;19,34;18,36;18,36;16,4;15,63;14,86;13,32;12,55;14,86;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/04/1948;;1;1;56,6;6,9;12,694;4;30;1;1;1;;0;14,09;13,32;17,38;48,3;24,24;19,34;16,4;15,63;14,09;14,09;12,55;11,78;11,01;11,01;11,01;10,24;10,24;9,47;9,47;8,7;8,7;8,25;8,25;7,8;7,8;8,25;7,8;7,35;7,35;6,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/05/1948;;1;1;231;7,35;39,686;17;15;1;1;1;;0;7,8;8,7;23,26;22,28;12,55;11,01;10,24;9,47;8,7;8,25;8,25;7,8;7,8;7,8;7,35;37,5;209;98,56;100,24;66,45;46,95;41,55;34,11;30,72;27,33;25,22;23,26;113,7;96,88;67,9;49,65;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/06/1948;;1;1;45,6;10,24;20,072;1;29;1;1;1;;0;45,6;40,2;36,37;31,85;28,46;27,33;25,22;23,26;22,28;21,3;20,32;22,28;22,28;19,34;18,36;17,38;16,4;15,63;14,86;14,09;13,32;13,32;12,55;12,55;12,55;11,78;11,78;11,01;10,24;10,24;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
